file_location,genre,tempo,zero_crossing_rate,average_spectral_flatness
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1844_4.wav,hip-hop,129.19921875,0.1791836734693877,0.06020626425743103
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1792_4.wav,hip-hop,161.4990234375,0.0951700680272108,0.020868245512247086
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1772_1.wav,hip-hop,151.99908088235293,0.0925306122448979,0.019263066351413727
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1860_5.wav,hip-hop,89.10290948275862,0.1286077097505669,0.04016147926449776
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_748_3.wav,hip-hop,107.666015625,0.0380498866213151,0.008147131651639938
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_858_5.wav,hip-hop,117.45383522727272,0.103469387755102,0.01962159015238285
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1838_0.wav,hip-hop,86.1328125,0.1761768707482993,0.04765685275197029
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_736_5.wav,hip-hop,143.5546875,0.0865532879818594,0.017673296853899956
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1770_3.wav,hip-hop,129.19921875,0.1421179138321995,0.04551727697253227
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1840_0.wav,hip-hop,123.046875,0.1398231292517006,0.012479465454816818
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1796_0.wav,hip-hop,83.35433467741936,0.1583900226757369,0.05220797657966614
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1776_5.wav,hip-hop,161.4990234375,0.0894557823129251,0.014239923097193241
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1864_1.wav,hip-hop,172.265625,0.064517006802721,0.015328500419855118
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1842_2.wav,hip-hop,103.359375,0.0827165532879818,0.024210330098867416
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1138_3.wav,hip-hop,89.10290948275862,0.1211337868480725,0.034109342843294144
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1794_2.wav,hip-hop,92.28515625,0.1397052154195011,0.027950888499617577
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1138_2.wav,hip-hop,143.5546875,0.1515510204081632,0.04545117914676666
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1794_3.wav,hip-hop,92.28515625,0.1173469387755102,0.037824846804142
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1842_3.wav,hip-hop,103.359375,0.0999183673469387,0.02476159855723381
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1864_0.wav,hip-hop,172.265625,0.050625850340136,0.013351306319236755
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1776_4.wav,hip-hop,161.4990234375,0.0983764172335601,0.021267693489789963
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1796_1.wav,hip-hop,86.1328125,0.1418367346938775,0.04713986814022064
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1840_1.wav,hip-hop,107.666015625,0.1323310657596371,0.013207276351749897
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1770_2.wav,hip-hop,99.38401442307692,0.070798185941043,0.014921498484909534
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_736_4.wav,hip-hop,123.046875,0.0884399092970521,0.021707721054553986
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_858_4.wav,hip-hop,117.45383522727272,0.0894965986394557,0.014164884574711323
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1838_1.wav,hip-hop,86.1328125,0.1775827664399093,0.04865971952676773
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_748_2.wav,hip-hop,107.666015625,0.0720453514739229,0.012725215405225754
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1860_4.wav,hip-hop,99.38401442307692,0.1309160997732426,0.034319449216127396
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1772_0.wav,hip-hop,151.99908088235293,0.069156462585034,0.011829572729766369
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1792_5.wav,hip-hop,107.666015625,0.1454557823129251,0.033375971019268036
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1844_5.wav,hip-hop,129.19921875,0.1247755102040816,0.024281159043312073
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1862_4.wav,hip-hop,151.99908088235293,0.1287210884353741,0.009234759956598282
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1118_5.wav,hip-hop,129.19921875,0.1126122448979591,0.033093471080064774
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1772_2.wav,hip-hop,143.5546875,0.1147301587301587,0.022705713286995888
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1846_5.wav,hip-hop,92.28515625,0.1544399092970521,0.040887124836444855
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_748_0.wav,hip-hop,107.666015625,0.0829886621315192,0.015378558076918125
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1838_3.wav,hip-hop,172.265625,0.11859410430839,0.026790529489517212
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1790_5.wav,hip-hop,117.45383522727272,0.0616326530612244,0.003960597328841686
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1770_0.wav,hip-hop,99.38401442307692,0.1243219954648526,0.03217815235257149
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1840_3.wav,hip-hop,112.34714673913044,0.1367074829931972,0.013906748965382576
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_768_5.wav,hip-hop,161.4990234375,0.070421768707483,0.015460384078323841
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1796_3.wav,hip-hop,86.1328125,0.1424172335600907,0.046522144228219986
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1842_1.wav,hip-hop,103.359375,0.1070340136054421,0.028074515983462334
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1864_2.wav,hip-hop,172.265625,0.0560770975056689,0.014882754534482956
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1794_1.wav,hip-hop,184.5703125,0.113047619047619,0.03960827738046646
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1138_0.wav,hip-hop,143.5546875,0.0796780045351474,0.020695867016911507
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1774_4.wav,hip-hop,123.046875,0.1456553287981859,0.04776981472969055
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1774_5.wav,hip-hop,123.046875,0.1293877551020408,0.037318579852581024
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1794_0.wav,hip-hop,92.28515625,0.1343401360544217,0.0523897148668766
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1138_1.wav,hip-hop,117.45383522727272,0.1379954648526077,0.0401855930685997
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1864_3.wav,hip-hop,172.265625,0.0558684807256235,0.013410769402980804
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1842_0.wav,hip-hop,103.359375,0.0742358276643991,0.020081840455532074
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1796_2.wav,hip-hop,86.1328125,0.1648616780045351,0.05112075433135033
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_768_4.wav,hip-hop,161.4990234375,0.0688616780045351,0.01416313648223877
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1840_2.wav,hip-hop,123.046875,0.1378730158730158,0.012398943305015564
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1770_1.wav,hip-hop,129.19921875,0.1447845804988662,0.04524915665388107
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1790_4.wav,hip-hop,129.19921875,0.0516281179138322,0.0009516555583104491
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1838_2.wav,hip-hop,86.1328125,0.1795147392290249,0.050162822008132935
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_748_1.wav,hip-hop,107.666015625,0.0836009070294784,0.01695520244538784
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1846_4.wav,hip-hop,92.28515625,0.1584807256235827,0.048050105571746826
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1772_3.wav,hip-hop,151.99908088235293,0.0826031746031746,0.01933341659605503
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1118_4.wav,hip-hop,95.703125,0.072344671201814,0.012449700385332108
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1862_5.wav,hip-hop,151.99908088235293,0.1273741496598639,0.007576812990009785
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1862_1.wav,hip-hop,161.4990234375,0.1269705215419501,0.007744491565972567
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1844_2.wav,hip-hop,135.99917763157896,0.0975918367346938,0.019793208688497543
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1118_0.wav,hip-hop,95.703125,0.1162811791383219,0.021655146032571793
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1792_2.wav,hip-hop,107.666015625,0.1111020408163265,0.02369437739253044
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_748_5.wav,hip-hop,107.666015625,0.0726213151927437,0.017580196261405945
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1860_3.wav,hip-hop,89.10290948275862,0.1157551020408163,0.02713177166879177
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1846_0.wav,hip-hop,92.28515625,0.1613151927437641,0.047231532633304596
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1770_5.wav,hip-hop,129.19921875,0.1420045351473922,0.04506104066967964
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_736_3.wav,hip-hop,123.046875,0.087641723356009,0.02136887237429619
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_858_3.wav,hip-hop,117.45383522727272,0.0947845804988662,0.021670831367373466
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1790_0.wav,hip-hop,117.45383522727272,0.0567029478458049,0.002446918049827218
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_768_0.wav,hip-hop,161.4990234375,0.0650022675736961,0.007704980205744505
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1776_3.wav,hip-hop,161.4990234375,0.1117052154195011,0.02203977108001709
/Users/AlwynLopez/Programming Work/Music Genre Classifier/data/genres/hip-hop/0_1842_4.wav,hip-hop,103.359375,0.1080136054421768,0.029484374448657036
